Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Solution Type,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Mass*sin(i) [Earth Mass],Planet Mass*sin(i)/sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Time Reference Frame and Standard,Ratio of Planet to Stellar Radius,Epoch of Periastron [days],Argument of Periastron [deg],Radial Velocity Amplitude [m/s],Projected Obliquity [deg],True Obliquity [deg],Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio,Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],Stellar Rotational Velocity [km/s],Stellar Rotational Period [days],Systemic Radial Velocity [km/s],Distance [pc],Parallax [mas],B (Johnson) Magnitude,V (Johnson) Magnitude,J (2MASS) Magnitude,H (2MASS) Magnitude,Ks (2MASS) Magnitude,u (Sloan) Magnitude,g (Sloan) Magnitude,r (Sloan) Magnitude,i (Sloan) Magnitude,z (Sloan) Magnitude,W1 (WISE) Magnitude,W2 (WISE) Magnitude,W3 (WISE) Magnitude,W4 (WISE) Magnitude,Gaia Magnitude
11 Com b,11 Com,b,2,1,0,0,Radial Velocity,Published Confirmed,,,,5434.7,,5434.7,Msini,,,,,,,,,,,,,,,2.6,,,,,,,,,,93.1846,10.7104,5.726,4.72307,2.943,2.484,2.282,,,,,,0.639,0.732,2.358,2.27,4.44038
11 Com b,11 Com,b,2,1,0,0,Radial Velocity,Published Confirmed,326.03,,,6165.6,,6165.6,Msini,,0.231,,,,,2452899.6,94.8,302.8,,,G8 III,4742.0,19.0,2.7,-0.35,[Fe/H],2.243,2.31,,,1.2,,,93.1846,10.7104,5.726,4.72307,2.943,2.484,2.282,,,,,,0.639,0.732,2.358,2.27,4.44038
11 Com b,11 Com,b,2,1,0,0,Radial Velocity,Published Confirmed,323.21,,,4914.89849,,4914.89849,Msini,,0.238,,,JD,,2454519.4,91.33,288.63,,,G8 III,4874.0,13.76,2.09,-0.26,[Fe/H],1.978,2.45,,,,,,93.1846,10.7104,5.726,4.72307,2.943,2.484,2.282,,,,,,0.639,0.732,2.358,2.27,4.44038
11 UMi b,11 UMi,b,1,1,0,0,Radial Velocity,Published Confirmed,516.21997,,,4684.8142,,4684.8142,Msini,,0.08,,,,,,,189.7,,,,4213.0,29.79,2.78,-0.02,[Fe/H],,1.93,,,,,,125.321,7.95388,6.382,5.013,2.876,2.091,1.939,,,,,,-0.29,0.143,1.894,1.787,4.56216
11 UMi b,11 UMi,b,1,1,0,0,Radial Velocity,Published Confirmed,,,,3432.4,,3432.4,Msini,,,,,,,,,,,,,,,1.7,,,,,,,,,,125.321,7.95388,6.382,5.013,2.876,2.091,1.939,,,,,,-0.29,0.143,1.894,1.787,4.56216
11 UMi b,11 UMi,b,1,1,0,0,Radial Velocity,Published Confirmed,516.22,,,3337.07,,3337.07,Msini,,0.08,,,,,2452861.04,117.63,189.7,,,K4 III,4340.0,24.08,1.8,0.04,[Fe/H],,1.6,1.56,,1.5,,,125.321,7.95388,6.382,5.013,2.876,2.091,1.939,,,,,,-0.29,0.143,1.894,1.787,4.56216
14 And b,14 And,b,1,1,0,0,Radial Velocity,Published Confirmed,186.76,,,1131.1513,,1131.1513,Msini,,0.0,,,JD,,2452853.0,0.0,86.08,,,K0 III,4888.0,11.55,1.78,-0.21,[Fe/H],1.84,2.55,,,,,,75.4392,13.2289,6.256,5.23133,3.019,2.608,2.331,,,,,,,,,,4.91781
14 And b,14 And,b,1,1,0,0,Radial Velocity,Published Confirmed,,,,1017.0,,1017.0,Msini,,,,,,,,,,,,,,,1.2,,,,,,,,,,75.4392,13.2289,6.256,5.23133,3.019,2.608,2.331,,,,,,,,,,4.91781
14 And b,14 And,b,1,1,0,0,Radial Velocity,Published Confirmed,185.84,,,1525.5,,1525.5,Msini,,0.0,,,,,2452861.4,0.0,100.0,,,K0 III,4813.0,11.0,2.2,-0.24,[Fe/H],1.763,2.63,,,2.6,,,75.4392,13.2289,6.256,5.23133,3.019,2.608,2.331,,,,,,,,,,4.91781
14 Her b,14 Her,b,1,2,0,0,Radial Velocity,Published Confirmed,1773.4,,,1474.67,,1474.67,Msini,,0.369,,,,,2451372.7,22.6,90.0,,,K0 V,,,,,,,,,,,,,17.9323,55.7363,7.495,6.61935,5.158,4.803,4.714,,,,,,,,,,6.383
